year,team,url
2019,Montreal Royal,https://www.ultianalytics.com/app/#/5798954679664640/players
2019,San Diego Growlers,https://www.ultianalytics.com/app/#/6026025574072320/players
2019,Tampa Bay Cannons,https://www.ultianalytics.com/app/#/5775526035718144/players
2019,Detroit Mechanix,https://www.ultianalytics.com/app/#/6466345621258240/players
2019,San Jose Spiders,https://www.ultianalytics.com/app/#/5661186758541312/players
2019,Atlanta Hustle,https://www.ultianalytics.com/app/#/4597087672991744/players
2019,Ottawa Outlaws,https://www.ultianalytics.com/app/#/5340445714415616/players
2019,Pittsburgh Thunderbirds,https://www.ultianalytics.com/app/#/5131989745139712/players
2019,Seattle Cascades,https://www.ultianalytics.com/app/#/5405478582484992/players
2019,Minnesota Wind Chill,https://www.ultianalytics.com/app/#/5223179500912640/players
2019,Toronto Rush,https://www.ultianalytics.com/app/#/5660854234120192/players
2019,Dallas Roughnecks,https://www.ultianalytics.com/app/#/5501394781995008/players
2019,Madison Radicals,https://www.ultianalytics.com/app/#/5335870970265600/players
2019,Indianapolis AlleyCats,https://www.ultianalytics.com/app/#/6099543552688128/players
2019,Los Angeles Aviators,https://www.ultianalytics.com/app/#/6417832975794176/players
2019,Austin Sol,https://www.ultianalytics.com/app/#/6637781254144000/players
2019,Philadelphia Phoenix,https://www.ultianalytics.com/app/#/6369964004999168/players
2019,Raleigh Flyers,https://www.ultianalytics.com/app/#/5225326984560640/players
2019,New York Empire,https://www.ultianalytics.com/app/#/6080525840154624/players
2019,DC Breeze,https://www.ultianalytics.com/app/#/4848353275805696/players
2019,Chicago Wildfire,https://www.ultianalytics.com/app/#/5684092356001792/players
2018,DC Breeze,http://www.ultianalytics.com/app/#/5752581510922240/players
2018,Seattle Cascades,http://www.ultianalytics.com/app/#/5083432317091840/players
2018,Tampa Bay Cannons,http://www.ultianalytics.com/app/#/5764371196149760/players
2018,Minnesota Wind Chill,http://www.ultianalytics.com/app/#/5190153664462848/players
2018,San Diego Growlers,http://www.ultianalytics.com/app/#/5642413183860736/players
2018,Philadelphia Phoenix,http://www.ultianalytics.com/app/#/5687270359171072/players
2018,Madison Radicals,http://www.ultianalytics.com/app/#/5632919561306112/players
2018,Dallas Roughnecks,http://www.ultianalytics.com/app/#/5688183576592384/players
2018,New York Empire,http://www.ultianalytics.com/app/#/5639193434783744/players
2018,San Francisco FlameThrowers,http://www.ultianalytics.com/app/#/5717396199309312/players
2018,Toronto Rush,http://www.ultianalytics.com/app/#/5723660543328256/players
2018,Atlanta Hustle,http://www.ultianalytics.com/app/#/5674770125291520/players
2018,Los Angeles Aviators,http://www.ultianalytics.com/app/#/5657507175333888/players
2018,Nashville NightWatch,http://www.ultianalytics.com/app/#/5765616870883328/players
2018,Montreal Royal,http://www.ultianalytics.com/app/#/5750003591020544/players
2018,Pittsburgh Thunderbirds,http://www.ultianalytics.com/app/#/5646382270513152/players
2018,Detroit Mechanix,http://www.ultianalytics.com/app/#/5683734527344640/players
2018,Austin Sol,http://www.ultianalytics.com/app/#/5713040162947072/players
2018,San Jose Spiders,http://www.ultianalytics.com/app/#/5630548068270080/players
2018,Raleigh Flyers,http://www.ultianalytics.com/app/#/5136318262673408/players
2018,Ottawa Outlaws,http://www.ultianalytics.com/app/#/5725028758847488/players
2018,Chicago Wildfire,http://www.ultianalytics.com/app/#/5753103617884160/players
2018,Indianapolis AlleyCats,http://www.ultianalytics.com/app/#/5760473244893184/players
2017,New York Empire,http://www.ultianalytics.com/app/#/5767202099691520/players
2017,Atlanta Hustle,http://www.ultianalytics.com/app/#/5762298832486400/players
2017,Madison Radicals,http://www.ultianalytics.com/app/#/5701394610782208/players
2017,Pittsburgh Thunderbirds,http://www.ultianalytics.com/app/#/5721191432060928/players
2017,Ottawa Outlaws,http://www.ultianalytics.com/app/#/5700228501995520/players
2017,Vancouver Riptide,http://www.ultianalytics.com/app/#/5711261467672576/players
2017,San Francisco FlameThrowers,http://www.ultianalytics.com/app/#/5654595548217344/players
2017,Dallas Roughnecks,http://www.ultianalytics.com/app/#/5688687119564800/players
2017,Seattle Cascades,http://www.ultianalytics.com/app/#/5753798823772160/players
2017,Montreal Royal,http://www.ultianalytics.com/app/#/5736577883963392/players
2017,DC Breeze,http://www.ultianalytics.com/app/#/5634601401712640/players
2017,Minnesota Wind Chill,http://www.ultianalytics.com/app/#/5658753101725696/players
2017,San Jose Spiders,http://www.ultianalytics.com/app/#/5655358173347840/players
2017,Austin Sol,http://www.ultianalytics.com/app/#/5199348879065088/players
2017,Jacksonville Cannons,http://www.ultianalytics.com/app/#/5672188833169408/players
2017,Los Angeles Aviators,http://www.ultianalytics.com/app/#/5719707252424704/players
2017,Toronto Rush,http://www.ultianalytics.com/app/#/5707300165648384/players
2017,Philadelphia Phoenix,http://www.ultianalytics.com/app/#/5666961832804352/players
2017,Chicago Wildfire,http://www.ultianalytics.com/app/#/5104011879383040/players
2017,Raleigh Flyers,http://www.ultianalytics.com/app/#/5740216795004928/players
2017,Detroit Mechanix,http://www.ultianalytics.com/app/#/5173627930542080/players
2017,Nashville NightWatch,http://www.ultianalytics.com/app/#/5672878150254592/players
2017,San Diego Growlers,http://www.ultianalytics.com/app/#/5712818124881920/players
2017,Indianapolis AlleyCats,http://www.ultianalytics.com/app/#/5646521009700864/players
2016,Los Angeles Aviators,http://www.ultianalytics.com/app/#/4919856549855232/players
2016,Ottawa Outlaws,http://www.ultianalytics.com/app/#/5153306812874752/players
2016,Austin Sol,http://www.ultianalytics.com/app/#/5128666635829248/players
2016,Pittsburgh Thunderbirds,http://www.ultianalytics.com/app/#/5758196635402240/players
2016,Vancouver Riptide,http://www.ultianalytics.com/app/#/6327231433408512/players
2016,DC Breeze,http://www.ultianalytics.com/app/#/5705148370255872/players
2016,Minnesota Wind Chill,http://www.ultianalytics.com/app/#/5142198416834560/players
2016,San Francisco FlameThrowers,http://www.ultianalytics.com/app/#/5743365039587328/players
2016,Raleigh Flyers,http://www.ultianalytics.com/app/#/5199033182191616/players
2016,Dallas Roughnecks,http://www.ultianalytics.com/app/#/5206956054675456/players
2016,Jacksonville Cannons,http://www.ultianalytics.com/app/#/5723974822526976/players
2016,Madison Radicals,http://www.ultianalytics.com/app/#/5114556594520064/players
2016,Detroit Mechanix,http://www.ultianalytics.com/app/#/5769906008096768/players
2016,Charlotte Express,http://www.ultianalytics.com/app/#/5640136574369792/players
2016,Cincinnati Revolution,http://www.ultianalytics.com/app/#/5069252692279296/players
2016,Atlanta Hustle,http://www.ultianalytics.com/app/#/5664284977659904/players
2016,Philadelphia Phoenix,http://www.ultianalytics.com/app/#/5675918433452032/players
2016,Seattle Cascades,http://www.ultianalytics.com/app/#/4860723440123904/players
2016,Toronto Rush,http://www.ultianalytics.com/app/#/5764281479987200/players
2016,New York Empire,http://www.ultianalytics.com/app/#/5632202645700608/players
2016,San Jose Spiders,http://www.ultianalytics.com/app/#/5716256766296064/players
2016,Indianapolis AlleyCats,http://www.ultianalytics.com/app/#/5201331526565888/players
2016,Montreal Royal,http://www.ultianalytics.com/app/#/5686487861428224/players
2016,Chicago Wildfire,http://www.ultianalytics.com/app/#/5691616589250560/players
2016,Nashville NightWatch,http://www.ultianalytics.com/app/#/5749730717990912/players
2016,San Diego Growlers,http://www.ultianalytics.com/app/#/5664810037411840/players
2015,Atlanta Hustle,http://www.ultianalytics.com/app/#/5708939920408576/players
2015,Philadelphia Phoenix,http://www.ultianalytics.com/app/#/5641462360309760/players
2015,Rochester Dragons,http://www.ultianalytics.com/app/#/5670377556541440/players
2015,Toronto Rush,http://www.ultianalytics.com/app/#/5754980359208960/players
2015,Nashville NightWatch,http://www.ultianalytics.com/app/#/5705718560718848/players
2015,Los Angeles Aviators,http://www.ultianalytics.com/app/#/5118639615246336/players
2015,Jacksonville Cannons,http://www.ultianalytics.com/app/#/5633494390669312/players
2015,San Francisco FlameThrowers,http://www.ultianalytics.com/app/#/5758048710688768/players
2015,Cincinnati Revolution,http://www.ultianalytics.com/app/#/5674069752020992/players
2015,Raleigh Flyers,http://www.ultianalytics.com/app/#/5684793748488192/players
2015,Ottawa Outlaws,http://www.ultianalytics.com/app/#/5751646390845440/players
2015,San Diego Growlers,http://www.ultianalytics.com/app/#/5734743547052032/players
2015,Detroit Mechanix,http://www.ultianalytics.com/app/#/5738275486564352/players
2015,Chicago Wildfire,http://www.ultianalytics.com/app/#/5671536392404992/players
2015,Madison Radicals,http://www.ultianalytics.com/app/#/5070544437248000/players
2015,New York Empire,http://www.ultianalytics.com/app/#/5704221898833920/players
2015,Vancouver Riptide,http://www.ultianalytics.com/app/#/5701751084679168/players
2015,Charlotte Express,http://www.ultianalytics.com/app/#/5643517367943168/players
2015,San Jose Spiders,http://www.ultianalytics.com/app/#/5722152447770624/players
2015,DC Breeze,http://www.ultianalytics.com/app/#/5635093192245248/players
2015,Seattle Cascades,http://www.ultianalytics.com/app/#/5681589568667648/players
2015,Indianapolis AlleyCats,http://www.ultianalytics.com/app/#/5724822843686912/players
2015,Montreal Royal,http://www.ultianalytics.com/app/#/5753050442498048/players
2015,Minnesota Wind Chill,http://www.ultianalytics.com/app/#/5683257223938048/players
2015,Pittsburgh Thunderbirds,http://www.ultianalytics.com/app/#/5651757665353728/players
2014,Cincinnati Revolution,http://www.ultianalytics.com/app/#/5732910535540736/players
2014,Detroit Mechanix,http://www.ultianalytics.com/app/#/5684961520648192/players
2014,Rochester Dragons,http://www.ultianalytics.com/app/#/5682238511382528/players
2014,Madison Radicals,http://www.ultianalytics.com/app/#/5182111044599808/players
2014,Seattle Raptors,http://www.ultianalytics.com/app/#/5648334039547904/players
2014,Indianapolis AlleyCats,http://www.ultianalytics.com/app/#/5075454121738240/players
2014,San Francisco FlameThrowers,http://www.ultianalytics.com/app/#/5094953273262080/players
2014,DC Breeze,http://www.ultianalytics.com/app/#/4868028676177920/players
2014,New York Empire,http://www.ultianalytics.com/app/#/6220853180104704/players
2014,San Jose Spiders,http://www.ultianalytics.com/app/#/6597766625099776/players
2014,Minnesota Wind Chill,http://www.ultianalytics.com/app/#/5638404075159552/players
2014,Salt Lake Lions,http://www.ultianalytics.com/app/#/5662069344960512/players
2014,Vancouver Riptide,http://www.ultianalytics.com/app/#/6226234774126592/players
2014,Chicago Wildfire,http://www.ultianalytics.com/app/#/5471866718257152/players
2014,Toronto Rush,http://www.ultianalytics.com/app/#/5131065358286848/players
2014,Montreal Royal,http://www.ultianalytics.com/app/#/5753341694967808/players
2014,Philadelphia Phoenix,http://www.ultianalytics.com/app/#/5663684521099264/players
